{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.35942364}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.21924742}  {Name:n02104029 kuvasz, Probability:0.2172781}
{Name:n02071294 killer whale, killer, orca, grampus, sea wolf, Orcinus orca, Probability:0.38795638}  {Name:n02058221 albatross, mollymawk, Probability:0.17891723}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.16729902}
{Name:n02410509 bison, Probability:0.4667573}  {Name:n01883070 wombat, Probability:0.30893347}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.04537359}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.932951}  {Name:n01883070 wombat, Probability:0.040947948}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.01822076}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.74024147}  {Name:n02104029 kuvasz, Probability:0.12936568}  {Name:n02113799 standard poodle, Probability:0.02944366}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7117389}  {Name:n02361337 marmot, Probability:0.14572957}  {Name:n02138441 meerkat, mierkat, Probability:0.047128994}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99994636}  {Name:n02104029 kuvasz, Probability:1.3650221e-05}  {Name:n02077923 sea lion, Probability:7.76176e-06}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.96629655}  {Name:n13054560 bolete, Probability:0.0050450554}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017074244}
{Name:n02437616 llama, Probability:0.14267097}  {Name:n02091467 Norwegian elkhound, elkhound, Probability:0.07411615}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.06628703}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.21792063}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.12726298}  {Name:n02113712 miniature poodle, Probability:0.12399892}
{Name:n02410509 bison, Probability:0.8223595}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.14304727}  {Name:n02403003 ox, Probability:0.011644416}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5713758}  {Name:n02444819 otter, Probability:0.34777498}  {Name:n02363005 beaver, Probability:0.01979676}
{Name:n02097298 Scotch terrier, Scottish terrier, Scottie, Probability:0.36621228}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.29488853}  {Name:n02410509 bison, Probability:0.044810403}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5911899}  {Name:n07802026 hay, Probability:0.07691794}  {Name:n02410509 bison, Probability:0.06287991}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999325}  {Name:n02104029 kuvasz, Probability:3.882737e-05}  {Name:n02111500 Great Pyrenees, Probability:8.338448e-06}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.36578056}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.2761757}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.21428655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99991226}  {Name:n02104029 kuvasz, Probability:4.016637e-05}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:2.9642199e-05}
