{Name:n02104029 kuvasz, Probability:0.21910787}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.15326566}  {Name:n02111500 Great Pyrenees, Probability:0.07865355}
{Name:n02071294 killer whale, killer, orca, grampus, sea wolf, Orcinus orca, Probability:0.3060592}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.18595712}  {Name:n02058221 albatross, mollymawk, Probability:0.15252134}
{Name:n02410509 bison, Probability:0.43111926}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.13976185}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.11999536}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.97774863}  {Name:n01883070 wombat, Probability:0.014825049}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0034967554}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9779089}  {Name:n02104029 kuvasz, Probability:0.008416894}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0023120383}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.66570127}  {Name:n02361337 marmot, Probability:0.2314766}  {Name:n02138441 meerkat, mierkat, Probability:0.035210054}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9985299}  {Name:n02093647 Bedlington terrier, Probability:0.00067897234}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00021119128}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.6477378}  {Name:n02483362 gibbon, Hylobates lar, Probability:0.053827144}  {Name:n02437616 llama, Probability:0.016148012}
{Name:n02093754 Border terrier, Probability:0.44265243}  {Name:n02097209 standard schnauzer, Probability:0.18999447}  {Name:n02097047 miniature schnauzer, Probability:0.06914437}
{Name:n03291819 envelope, Probability:0.92006}  {Name:n02708093 analog clock, Probability:0.0070977146}  {Name:n03832673 notebook, notebook computer, Probability:0.0055477163}
{Name:n03291819 envelope, Probability:0.92006}  {Name:n02708093 analog clock, Probability:0.0070977146}  {Name:n03832673 notebook, notebook computer, Probability:0.0055477163}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.60584855}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11346467}  {Name:n02113712 miniature poodle, Probability:0.057669967}
{Name:n02410509 bison, Probability:0.81580335}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.15260056}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.018673372}
{Name:n02444819 otter, Probability:0.7568288}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.2135878}  {Name:n02363005 beaver, Probability:0.017583625}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.52372074}  {Name:n02097298 Scotch terrier, Scottish terrier, Scottie, Probability:0.12754433}  {Name:n02105251 briard, Probability:0.063450605}
{Name:n01883070 wombat, Probability:0.49179545}  {Name:n02410509 bison, Probability:0.17422125}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.09086896}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99997103}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.7920149e-05}  {Name:n02104029 kuvasz, Probability:5.9903628e-06}
{Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.38678384}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.27583787}  {Name:n02410509 bison, Probability:0.24152479}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999896}  {Name:n02437616 llama, Probability:7.901471e-06}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:1.9239324e-06}
{Name:n03291819 envelope, Probability:0.92006}  {Name:n02708093 analog clock, Probability:0.0070977146}  {Name:n03832673 notebook, notebook computer, Probability:0.0055477163}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99982625}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00010861728}  {Name:n02104029 kuvasz, Probability:3.617851e-05}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.69758993}  {Name:n02361337 marmot, Probability:0.2556958}  {Name:n01883070 wombat, Probability:0.030209389}
{Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.91893053}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.040075004}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.019555133}
{Name:n02410509 bison, Probability:0.5943223}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.23978329}  {Name:n02403003 ox, Probability:0.041717153}
