{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8925217}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.075741865}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.010621643}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.6829644}  {Name:n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus, Probability:0.09614927}  {Name:n02071294 killer whale, killer, orca, grampus, sea wolf, Orcinus orca, Probability:0.087055445}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7986914}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.06806548}  {Name:n02129165 lion, king of beasts, Panthera leo, Probability:0.025996033}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9991855}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0007192598}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:3.9548046e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98944736}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0042232843}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.002543157}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.97251487}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.014927552}  {Name:n02361337 marmot, Probability:0.00230122}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.996058}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0022255494}  {Name:n02091134 whippet, Probability:0.0003278471}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98316884}  {Name:n01943899 conch, Probability:0.0024441937}  {Name:n02058221 albatross, mollymawk, Probability:0.0016606692}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9026861}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.020733612}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.006855724}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8940695}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.094423145}  {Name:n02105056 groenendael, Probability:0.005927313}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9888741}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0062136855}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0031006346}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7742411}  {Name:n02444819 otter, Probability:0.20448211}  {Name:n02363005 beaver, Probability:0.007649728}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93275654}  {Name:n02105056 groenendael, Probability:0.034605246}  {Name:n02104365 schipperke, Probability:0.015008149}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6587496}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.13546543}  {Name:n02410509 bison, Probability:0.08071065}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99999845}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.1768495e-06}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:2.5211102e-07}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99883074}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0007399726}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00024350447}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999999}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:7.5349476e-08}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.9213947e-08}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999987}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.033336e-06}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:2.9464627e-07}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.65468025}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.34481}  {Name:n02137549 mongoose, Probability:0.00023106117}
{Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.8903607}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.06594711}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.02628669}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99798167}  {Name:n02117135 hyena, hyaena, Probability:0.001286441}  {Name:n02486410 baboon, Probability:0.00042046013}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9996519}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0003385231}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:3.0364379e-06}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.75055206}  {Name:n02115913 dhole, Cuon alpinus, Probability:0.14186709}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.03380373}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8568854}  {Name:n02077923 sea lion, Probability:0.09582435}  {Name:n02444819 otter, Probability:0.016690282}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5415679}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.13920677}  {Name:n01883070 wombat, Probability:0.117373414}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.3213182}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.29709426}  {Name:n01883070 wombat, Probability:0.070880845}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9680393}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.010769022}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.00607405}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9189831}  {Name:n02445715 skunk, polecat, wood pussy, Probability:0.03682606}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.0070058513}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7325489}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.24425621}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.00997097}
{Name:n02410509 bison, Probability:0.81535304}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.16092364}  {Name:n02403003 ox, Probability:0.01797562}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9891082}  {Name:n02077923 sea lion, Probability:0.006205923}  {Name:n02444819 otter, Probability:0.0026148465}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.676515}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.25423154}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.03262793}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9999969}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:1.9504141e-06}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:5.1579053e-07}
{Name:n09399592 promontory, headland, head, foreland, Probability:0.27017078}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.12837633}  {Name:n09332890 lakeside, lakeshore, Probability:0.12265069}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9144367}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07050067}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0024766442}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9998667}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:6.839025e-05}  {Name:n02104029 kuvasz, Probability:3.536088e-05}
{Name:n02074367 dugong, Dugong dugon, Probability:0.5262457}  {Name:n04251144 snorkel, Probability:0.24978593}  {Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.09926384}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99801517}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.000942848}  {Name:n02137549 mongoose, Probability:0.00035967297}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9940096}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.005262211}  {Name:n02441942 weasel, Probability:0.00037503545}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.99650806}  {Name:n02058221 albatross, mollymawk, Probability:0.00053715985}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00052135467}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
