{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.2975172}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.17326921}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.13703984}
{Name:n02058221 albatross, mollymawk, Probability:0.09113931}  {Name:n02444819 otter, Probability:0.08546226}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.07574227}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5749254}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07008462}  {Name:n02410509 bison, Probability:0.04377077}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9284585}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0129265245}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.006350283}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9204474}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.003973094}  {Name:n02099712 Labrador retriever, Probability:0.0017672512}
{Name:n02361337 marmot, Probability:0.47211722}  {Name:n02363005 beaver, Probability:0.34903425}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.039384168}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9394434}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.00278566}  {Name:n02280649 cabbage butterfly, Probability:0.0017769086}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92876774}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0018361623}  {Name:n02104029 kuvasz, Probability:0.0018080123}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9153085}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.020677587}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.003794492}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9131719}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009163412}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.004337553}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.97567254}  {Name:n02410509 bison, Probability:0.0037939607}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.002327744}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7286133}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.008232533}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.004624864}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.84315574}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.057361085}  {Name:n01883070 wombat, Probability:0.020891352}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.92359287}  {Name:n02410509 bison, Probability:0.0034490342}  {Name:n02877765 bottlecap, Probability:0.002269122}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.93931246}  {Name:n02909870 bucket, pail, Probability:0.0031172629}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0015579114}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9486813}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0032456825}  {Name:n04067472 reel, Probability:0.0025348228}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.95839137}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0042215353}  {Name:n02280649 cabbage butterfly, Probability:0.00079434906}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.927366}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0028517847}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016117033}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.4746753}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.16613197}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0035764552}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9813098}  {Name:n01883070 wombat, Probability:0.0010280806}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0005859363}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9532784}  {Name:n04067472 reel, Probability:0.0029218523}  {Name:n02117135 hyena, hyaena, Probability:0.0006466577}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.94221383}  {Name:n09472597 volcano, Probability:0.000510675}  {Name:n01614925 bald eagle, American eagle, Haliaeetus leucocephalus, Probability:0.00040101848}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.92050034}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.004586237}  {Name:n02410509 bison, Probability:0.0027263248}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9272843}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0020809993}  {Name:n02444819 otter, Probability:0.0014626363}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.86613744}  {Name:n01883070 wombat, Probability:0.006638895}  {Name:n02077923 sea lion, Probability:0.0037000116}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.27165657}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.17492269}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.09899697}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8559732}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.021212608}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0055540767}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.99743015}  {Name:n02447366 badger, Probability:0.0001726932}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:7.3624054e-05}
{Name:n02113799 standard poodle, Probability:0.2334195}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.23288551}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.027151955}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.71349066}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.14163789}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.041355938}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9852622}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0005819761}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0004973296}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.23156135}  {Name:n02098286 West Highland white terrier, Probability:0.08663384}  {Name:n02098105 soft-coated wheaten terrier, Probability:0.070300445}
