{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.720621}  {Name:n02117135 hyena, hyaena, Probability:0.0041738865}  {Name:n01695060 Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, Probability:0.0032659937}
{Name:n02058221 albatross, mollymawk, Probability:0.3688735}  {Name:n04251144 snorkel, Probability:0.073735245}  {Name:n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus, Probability:0.061968606}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9553425}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.013898473}  {Name:n02410509 bison, Probability:0.001287162}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9099461}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.006909883}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0030696404}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90054506}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0019562435}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0007899831}
{Name:n02361337 marmot, Probability:0.64920753}  {Name:n02363005 beaver, Probability:0.14603421}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.015919143}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.89209867}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0020504359}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0009047883}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.88223916}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018637121}  {Name:n02441942 weasel, Probability:0.00069683447}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.43215975}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.22405906}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.054746177}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
